wos_org,std_name,city,state,id
Agios Pharmaceuticals,,Cambridge,MA,
Air Force Institute of Technology (AFIT),,Wright Patterson AFB,OH,
Air Force Office of Scientific Research (AFOSR),,Arlington,VA,
Air Products & Chemicals,,Allentown,PA,
Akron Children's Hospital,,Akron,OH,
Akron General Medical Center,,Tallmadge,OH,
Alabama A&M University,,Normal,AL,
Alaska Department of Fish & Game,,Fairbanks,AK,
Alaska Native Medical Center,,Anchorage,AK,
Alaska Native Tribal Health Consortium,,Anchorage,AK,
Albany College of Pharmacy & Health Sciences,,Albany,NY,
Albany Medical College,,Albany,NY,
Albany State University,,Albany,GA,
Albert Einstein College of Medicine,Albert Einstein College,Bronx,NY,95002
Albion College,,Albion,MI,
Alcatel-Lucent,,Murray Hill,NJ,
Alcoa,,Alcoa Ctr,PA,
Alcon,,Ft Worth,TX,
Alfred State College,,Alfred,NY,
Alfred University,,Alfred,NY,
Alkermes,,Cambridge,MA,
Allegheny College,,Meadville,PA,
Allegheny General Hospital,,Pittsburgh,PA,
Allen Institute for Brain Science,,Seattle,WA,
Allergan,,Irvine,CA,
Alliance Pharma Inc,,Malvern,PA,
Alliant International University,,San Diego,CA,
Allina Health System,,Minneapolis,MN,
Altoona Center for Clinical Research,,Duncansville,PA,
Alzheimer's Association,,Skokie,IL,
Amazon.com,,Seattle,WA,
American Academy of Arts & Sciences,,Washington,DC,
American Academy of Pediatrics,,Elk Grove Village,IL,
American Association of Retired Persons (AARP),,Washington,DC,
American Board of Internal Medicine,,Philadelphia,PA,
American Cancer Society,,Atlanta,GA,
American Chemical Society,,Washington,DC,
American College of Cardiology,,Washington,DC,
American College of Physicians,,Philadelphia,PA,
American College of Radiology,,Lutherville Timonium,MD,
American College of Surgeons,,Chicago,IL,
American Cyanamid Company,,BOUND BROOK,NJ,
American Diabetes Association,,Alexandria,VA,
American Health Foundation,,Valhalla,NY,
American Institutes for Research,,Washington,DC,
American Medical Association,,Chicago,IL,
American Military University,,Charles Town,WV,
American Museum of Natural History (AMNH),,New York,NY,
American Public University,,Charles Town,WV,
American Public University System,,Charles Town,WV,
American Red Cross,,Rockville,MD,
American Society of Clinical Oncology,,Alexandria,VA,
American University,,Washington,DC,
AmerisourceBergen Corporation,,Tampa,FL,
Ames National Laboratory,,Ames,IA,
Amgen,,Thousand Oaks,CA,
Amherst College,,Amherst,MA,
"Amylin Pharmaceuticals, LLC",,San Diego,CA,
Analog Devices,,Norwood,MA,
Andrews University,,Berrien Springs,MI,
Angeles Clinic & Research Institute,,Santa Monica,CA,
Angelo State University,,San Angelo,TX,
Ann & Robert H. Lurie Children's Hospital of Chicago,,Chicago,IL,
Anti Cancer Inc,,San Diego,CA,
Antioch College,,Yellow Springs,OH,
Antioch University Midwest,,Yellow Springs,OH,
Antioch University New England,,Keene,NH,
Appalachian State University,,Boone,NC,
Apple Inc,,Cupertino,CA,
Applied Biosystems,,Foster City,CA,
Applied Materials Inc,,Santa Clara,CA,
Arbor Research Collaborative for Health,,Ann Arbor,MI,
Archer Daniels Midland Company,,Columbus,NE,
Argonne National Laboratory,,Argonne,IL,
Argosy University,,Chicago,IL,
Arizona Center Cancer Care,,Tucson,AZ,
Arizona Department of Health Services,,Phoenix,AZ,
Arizona Heart Institute,,Phoenix,AZ,
Arizona State University,Arizona State University,Tempe,AZ,95006
Arizona State University-Downtown Phoenix,Arizona State University,Phoenix,AZ,95006
Arizona State University-Tempe,Arizona State University,Tempe,AZ,95006
Arkansas Children's Hospital,,Little Rock,AR,
Arkansas State University,,State Univ,AR,
Arkansas Tech University,,Russellville,AR,
Arkema,,King Of Prussia,PA,
Armstrong Atlantic State University,,Savannah,GA,
Army Cyber Institute (ACI),,West Point,NY,
Asheville Buncombe Library System,,Asheville,NC,
Ashland Inc,,Lexington,KY,
Ashland University,,Ashland,OH,
Aspen Institute,,Washington,DC,
Association of American Medical Colleges,,Washington,DC,
Assumption College,,Worcester,MA,
Astellas Pharmaceuticals,,Boulder,CO,
Asuragen,,Austin,TX,
Athenaeum of Ohio,,Cincinnati,OH,
Atlanta Metropolitan State College,,Atlanta,GA,
Atlanta VA Health Care System,,Atlanta,GA,
Atlanta VA Medical Center,,Atlanta,GA,
Atlantic Health System,,Morristown,NJ,
Atlantic Oceanographic & Meteorological Laboratory (AOML),,Miami,FL,
Atmospheric & Environmental Research,,Lexington,MA,
Auburn University,Auburn University,Auburn,AL,95007
Auburn University Montgomery,Auburn University,Montgomery,AL,95007
Auburn University System,Auburn University,Auburn,AL,95007
Audie L. Murphy Memorial Veterans Hospital,,San Antonio,TX,
Augsburg University,,Minneapolis,MN,
Augusta University,Augusta University,Augusta,GA,95100
Austin Peay State University,,Clarksville,TN,
Avon Products,,Suffern,NY,
BIKAM Pharmaceuticals,,Cambridge,MA,
BP,,Warrenville,IL,
Babson College,,Babson Pk,MA,
Bae Systems,,Nashua,NH,
Baldwin Wallace University,,Berea,OH,
Ball State University,Ball State University,Muncie,IN,95008
Baltimore VA Medical Center,,Baltimore,MD,
Bank of America Corporation,,Rockville,MD,
Banner Alzheimer's Institute,,Phoenix,AZ,
Banner Health,,Mesa,AZ,
Banner Research,,Mesa,AZ,
Banner Sun Health Research Institute,,Sun City,AZ,
Baptist Cardiac & Vascular Institute,,Miami,FL,
Baptist Health Medical Group,,Lexington,KY,
Baptist Hospital Miami,,Miami,FL,
Baptist Memorial Hospital Memphis,,Memphis,TN,
Barbara Ann Karmanos Cancer Institute,,Detroit,MI,
Barclays,,San Francisco,CA,
Barnes-Jewish Hospital,,St Louis,MO,
Barrow Neurological Institute,,Phoenix,AZ,
Baruch College (CUNY),CUNY,New York,NY,95077
Bascom Palmer Eye Institute,,Miami,FL,
Battelle Memorial Institute,,Columbus,OH,
Baxter International Inc,,Round Lake,IL,
Baylor College of Medicine,Baylor College of Medicine,Houston,TX,95010
Baylor Health Care System,,Dallas,TX,
Baylor Scott & White Health,,Dallas,TX,
Baylor University,Baylor University,Waco,TX,96003
Baystate Medical Center,,Springfield,MA,
Beaumont Health,,Royal Oak,MI,
Beckman Research Institute of City of Hope,City of Hope,Duarte,CA,95038
Bellevue Hospital Center,,New York,NY,
Belmont College,,Clairsville,OH,
Belmont University,,Nashville,TN,
Beloit College,,Beloit,WI,
Bemidji State University,,Bemidji,MN,
Benaroya Research Institute,,Seattle,WA,
Berkeley Geochronolgy Center,,Berkeley,CA,
Berkshire Hathaway,,Los Angeles,CA,
Beth Israel Deaconess Medical Center,Beth Israel,Boston,MA,95011
Bethel University,,McKenzie,TN,
Bethlehem Steel Corporation,,BETHLEHEM,PA,
Bigelow Laboratory for Ocean Sciences,,W Boothbay Harbor,ME,
Bill & Melinda Gates Foundation,,Seattle,WA,
BioEnergy Science Center (BESC),,Oak Ridge,TN,
Biogen,,San Diego,CA,
Biola University,,La Mirada,CA,
Black Hills State University,,Spearfish,SD,
Bloomsburg University of Pennsylvania,,Bloomsburg,PA,
Bluffton University,,Bluffton,OH,
Boeing,,Seattle,WA,
Boise State University,Boise State University,Boise,ID,20100275
Boston Biomedical Research Institute,,Watertown,MA,
Boston Children's Hospital,Boston Children's Hospital,Boston,MA,95034
Boston College,Boston College,Chestnut Hill,MA,20100272
Boston Medical Center,,Boston,MA,
Boston Scientific,,Natick,MA,
Boston University,Boston University,Boston,MA,95014
Bowdoin College,,Brunswick,ME,
Bowie State University,,Bowie,MD,
Bowling Green State University,Bowling Green State University,Bowling Green,OH,95015
Boyce Thompson Institute for Plant Research,Boyce Thompson Inst,Ithaca,NY,97017
Boys Town National Research Hospital,,Omaha,NE,
Bradley University,,Peoria,IL,
Brandeis University,Brandeis University,Waltham,MA,95016
Brandman University,,Irvine,CA,
Bridgestone Corporation,,Akron,OH,
Bridgewater State College,,Bridgewater,MA,
Brigham & Women's Hospital,Brigham & Women's,Boston,MA,95017
Brigham Young University,Brigham Young University,Provo,UT,95018
Brigham Young University - Hawaii,Brigham Young University,Laie,HI,95018
BrightFocus Foundation,,Clarksburg,MD,
Bristol-Myers Squibb,,New Brunswick,NJ,
Broad Institute,,Cambridge,MA,
BronxCare Health System,,New York,NY,
Brookhaven National Laboratory,,Upton,NY,
Brookings Institution,,Washington,DC,
Brooklyn College (CUNY),CUNY,Brooklyn,NY,95077
Brooklyn Hospital Center,,Brooklyn,NY,
Brown University,Brown University,Providence,RI,95019
Bryn Mawr College,,Bryn Mawr,PA,
Buck Institute for Research on Aging,,Novato,CA,
Bucknell University,,Lewisburg,PA,
Buffalo General Medical Center,,Buffalo,NY,
Buffalo State College,,Buffalo,NY,
Burroughs Wellcome Fund,,Res Triangle Pk,NC,
Bush School of Government & Public Service,,College Stn,TX,
Butler Hospital Rhode Island,,Providence,RI,
CDC National Center for Health Statistics (NCHS),,Hyattsville,MD,
CH2M Hill,,Herndon,VA,
CHRISTUS Saint Frances Cabrini Hospital,,ALEXANDRIA,LA,
CNH Global,,New Holland,PA,
CUNY School of Law Queens College,CUNY,New York,NY,95077
CVPath Institute,,Gaithersburg,MD,
California Academy of Sciences,,San Francisco,CA,
California Baptist University,,Riverside,CA,
California Department of Food & Agriculture,,Sacramento,CA,
California Department of Forestry and Fire Protection,,Sacramento,CA,
California Department of Health Care Services,,Richmond,CA,
California Department of Public Health,,San Francisco,CA,
California Emerging Infections Program,,Berkeley,CA,
California Environmental Protection Agency,,Sacramento,CA,
California Health & Human Services Agency,,BERKELEY,CA,
California Institute of Technology,California Institute of Tech,Pasadena,CA,95022
California Lutheran University,,Thousand Oaks,CA,
California Maritime Academy,,Vallejo,CA,
California Pacific Medical Center,California Pacific,San Francisco,CA,95023
California Pacific Medical Center Research Institute,California Pacific,San Francisco,CA,95023
California Polytechnic State University San Luis Obispo,,San Luis Obispo,CA,
California State Polytechnic University Pomona,California State Poly,Pomona,CA,99021
California State University Bakersfield,California State University,Bakersfield,CA,96006
California State University Channel Islands,California State University,Camarillo,CA,96006
California State University Chico,California State University,Chico,CA,96006
California State University Dominguez Hills,California State University,Carson,CA,96006
California State University East Bay,California State University,Hayward,CA,96006
California State University Fresno,California State University,Fresno,CA,96006
California State University Fullerton,California State University Fullerton,Fullerton,CA,95024
California State University Long Beach,California State University,Long Beach,CA,96006
California State University Los Angeles,California State University,Los Angeles,CA,96006
California State University Monterey Bay,California State University,Seaside,CA,96006
California State University Northridge,California State University,Northridge,CA,96006
California State University Sacramento,California State University,Sacramento,CA,96006
California State University San Bernardino,California State University,San Bernardino,CA,96006
California State University San Marcos,California State University,San Marcos,CA,96006
California State University Stanislaus,California State University,Fresno,CA,96006
California State University System,California State University,Pomona,CA,96006
California University of Pennsylvania,,California,PA,
Calvin University,,Grand Rapids,MI,
Cambridge Health Alliance,,Cambridge,MA,
Cambridge Hospital,,Cambridge,MA,
Cambridge Silicon Radio (CSR),,Santa Ana,CA,
Cambridge University Press,,NEW ROCHELLE,NY,
Campbell University,,Buies Creek,NC,
Cancer Center of Kansas,,Wichita,KS,
Cancer Prevention Institute of California,,Fremont,CA,
Cancer Research & Biostatistics,,Seattle,WA,
Cancer Research Center of Hawaii,,Honolulu,HI,
Cancer Therapy & Research Center,,San Antonio,TX,
Capital University,,Columbus,OH,
Cardinal Health Inc,,Marlborough,MA,
Cardiovascular Engineering,,Holliston,MA,
Cardiovascular Research Foundation (CRF),,New York,NY,
Care New England,,Providence,RI,
Cargill,,Oklahoma City,OK,
Carleton College,,Northfield,MN,
Carnegie Institution for Science,,Washington,DC,
Carnegie Mellon University,Carnegie Mellon,Pittsburgh,PA,95027
Carolina Urologic Research Center,,Myrtle Beach,SC,
Carolinas HealthCare System,,Charlotte,NC,
Carolinas Medical Center,,Charlotte,NC,
Cary Institute of Ecosystem Studies,,Millbrook,NY,
Case Western Reserve University,Case Western,Cleveland,OH,95029
Case Western Reserve University Hospital,Case Western,Cleveland,OH,95029
Caterpillar Inc,,Moosville,IL,
Catholic University of America,Catholic University of America,Washington,DC,96045
Cedars Sinai Medical Center,Cedars Sinai,Los Angeles,CA,20000226
Cedarville University,,Cedarville,OH,
Celgene Corporation,,San Diego,CA,
Cell Genesys Inc,,San Francisco,CA,
Center for Cancer Genomics (CCG),,Bethesda,MD,
Center for Creative Leadership,,Greensboro,NC,
Center for Infectious Disease Research,,Seattle,WA,
Center for International Blood & Marrow Transplant Research,,Milwaukee,WI,
Center for Nanophase Materials Sciences,,Oak Ridge,TN,
Center for Ocean Land Atmosphere Studies,,Fairfax,VA,
Centers for Disease Control & Prevention - USA,,Atlanta,GA,
Centers for Medicare & Medicaid Services,,Baltimore,MD,
Central Arkansas Veterans Healthcare System,,Little Rock,AR,
Central Baptist Hospital,,Lexington,KY,
Central Connecticut State University,,New Britain,CT,
Central Florida - North,,Daytona Beach,FL,
Central Florida - South,,Melbourne,FL,
Central Florida Division,,Melbourne,FL,
Central Florida Hospital - North,,Tavares,FL,
Central Florida Hospital - South,,Celebration,FL,
Central Michigan University,,Mt Pleasant,MI,
Central Ohio Technical College,,NEWARK,OH,
Central State University,,Wilberforce,OH,
Central Texas Medical Center,,San Marcos,TX,
Central Washington University,,Ellensburg,WA,
Centre for Strategic & International Studies,,Washington,DC,
Chadron State College,,Chadron,NE,
Chapman University,,Orange,CA,
Chapman University System,,Orange,CA,
Charles R. Drew University of Medicine & Science,,Los Angeles,CA,
Chevron,,Houston,TX,
Cheyney University of Pennsylvania,,CHEYNEY,PA,
Chicago Department of Public Health,,Chicago,IL,
Chicago Medical School,,N Chicago,IL,
Chicago State University,,Chicago,IL,
Children's Hospital Colorado,,Boulder,CO,
Children's Hospital Los Angeles,Children's Hospital Los Angeles,Los Angeles,CA,20000250
Children's Hospital Oakland Research Institute,Children's Hospital Oakland,Oakland,CA,95036
Children's Hospital of Michigan,,Detroit,MI,
Children's Hospital of New Orleans,,New Orleans,LA,
Children's Hospital of Wisconsin,,Milwaukee,WI,
Children's Hospitals & Clinics of Minnesota,,St Paul,MN,
Children's Mercy Hospital,,Kansas City,MO,
Children's National Health System,Children's National Health,Washington,DC,20140306
Children's Oncology Group (COG),,Arcadia,CA,
Childrens Healthcare of Atlanta (CHOA),,Atlanta,GA,
Childrens Hospital at Montefiore,,Bronx,NY,
Childrens Hospital of Orange County,,Orange,CA,
Childrens Hospital of Philadelphia,Childrens Hospital of Philadelphia,Philadelphia,PA,95033
China Electronics Corporation,,Cambridge,MA,
Christ Hospital - Ohio,,Cincinnati,OH,
Christiana Care Health System,,Newark,DE,
Cincinnati Children's Hospital Medical Center,Children's Hospital Cincinnati,Cincinnati,OH,96008
Cincinnati Children's Hospital Research Foundation,Children's Hospital Cincinnati,Cincinnati,OH,96008
Cincinnati Christian University,,Cincinnati,OH,
Cincinnati State Technical & Community College,,Cincinnati,OH,
Cincinnati VA Medical Center,,Cincinnati,OH,
Cisco Systems Inc,,San Jose,CA,
City College of New York (CUNY),CUNY,New York,NY,95077
City University of New York (CUNY) Graduate School,CUNY,New York,NY,95077
City University of New York (CUNY) System,CUNY,New York,NY,95077
City of Hope,City of Hope,Duarte,CA,95038
Claremont Colleges,,Claremont,CA,
Claremont Graduate School,,Claremont,CA,
Claremont McKenna College,,Claremont,CA,
Clarion University of Pennsylvania,,Clarion,PA,
Clark Atlanta University,,Atlanta,GA,
Clark State Community College,,Springfield,OH,
Clark University,,Worcester,MA,
Clarkson University,,Potsdam,NY,
Clayton State University,,Athens,GA,
Clemson University,Clemson University,Clemson,SC,95040
Cleveland Clinic Foundation,Cleveland Clinic,Cleveland,OH,95041
Cleveland Institute of Art,,Cleveland,OH,
Cleveland Institute of Music,,Cleveland,OH,
Cleveland Museum of Natural History,,Cleveland,OH,
Cleveland State University,Cleveland State University,Cleveland,OH,20140303
Coastal Carolina University,,Conway,SC,
Colby College,,Waterville,ME,
Cold Regions Research & Engineering Laboratory (CRREL),,Lebanon,NH,
Cold Spring Harbor Laboratory,Cold Spring Harbor,Cold Spring Harbor,NY,20120296
Colgate University,,Hamilton,NY,
College of American Pathologists,,Northfield,IL,
College of Charleston,,Charleston,SC,
College of Coastal Georgia,,Brunswick,ME,
College of New Jersey,,Ewing,NJ,
College of Saint Benedict & Saint Johns University,,St Joseph,MN,
College of Southern Nevada,,Las Vegas,NV,
College of Staten Island (CUNY),CUNY,Staten Isl,NY,95077
College of Wooster,,Wooster,OH,
College of the Holy Cross,,Worcester,MA,
Colorado Center For Bone Research,,Lakewood,CO,
Colorado College,,Colorado Springs,CO,
Colorado Department of Public Health & Environment,,Denver,CO,
Colorado Parks & Wildlife,,Grand Junction,CO,
Colorado School of Mines,Colorado School of Mines,Golden,CO,95043
Colorado School of Public Health,,Boulder,CO,
Colorado State University,Colorado State University,Ft Collins,CO,95044
Columbia University,Columbia University,New York,NY,95045
Columbia University Teachers College,Columbia University,New York,NY,95045
Columbus College of Art & Design,,Columbus,OH,
Columbus State Community College,,Columbus,OH,
Columbus State University,,Columbus,GA,
Commonwealth Fund,,New York,NY,
Comprehensive Cancer Centers of Nevada,,Las Vegas,NV,
Concord Hospital,,Concord,NH,
Connecticut Agricultural Experiment Station,,New Haven,CT,
Connecticut Children's Medical Center,,Hartford,CT,
Connecticut College,,New London,CT,
Connecticut State University System,,Willimantic,CT,
ConocoPhillips,,Anchorage,AK,
Conservation International,,Washington,DC,
Construction Engineering Research Laboratory (CERL),,Champaign,IL,
Cook Children's Medical Center,,Ft Worth,TX,
Cooper Institute,,Dallas,TX,
Cooper Medical School of Rowan University,Rowan University,Camden,NJ,20160315
Cooper University Hospital,,Camden,NJ,
Coppin State University,,Baltimore,MD,
Coriell Institute for Medical Research,,Philadelphia,PA,
Cornea Research Foundation of America,,Indianapolis,IN,
Cornell University,Cornell University,Ithaca,NY,95048
Corning Inc,,Fairport,NY,
Costco Wholesale Corporation,,Issaquah,WA,
Covance,,Gaithersburg,MD,
Covidien,,Troy,MI,
Creighton University,Creighton University,Omaha,NE,95049
Cuyahoga Community College,,Cleveland,OH,
Cystic Fibrosis Foundation,,Los Angeles,CA,
D'Youville College,,Buffalo,NY,
D. E. Shaw Research,,New York,NY,
DaVita,,Buffalo,NY,
Daiichi Sankyo Company Limited,,Edison,NJ,
Dakota State University,,Madison,SD,
Dalton State College,,Dalton,GA,
Dana-Farber Cancer Institute,Dana-Farber,Boston,MA,95052
Dartmouth College,Dartmouth College,Hanover,NH,95053
Dassault Systemes,,Concord,MA,
David Geffen School of Medicine at UCLA,,Los Angeles,CA,
Davidson College,,Davidson,NC,
DePaul University,,Chicago,IL,
DePauw University,,Greencastle,IN,
Decision Science Research Institute,,Eugene,OR,
Deere & Company,,Galena,IL,
Defense Advanced Research Projects Agency (DARPA),,Arlington,VA,
Defense Threat Reduction Agency,,Alexandria,VA,
Defiance College,,DEFIANCE,OH,
Delaware State University,,Dover,DE,
Delphi,,Tulsa,OK,
Dendreon,,Seattle,WA,
Denison University,,Granville,OH,
Denver Health Medical Center,,Denver,CO,
Desert Research Institute NSHE,,Las Vegas,NV,
Detroit Medical Center,,Detroit,MI,
Detroit Receiving Hospital & University Health Center,,Detroit,MI,
Devers Eye Institute,,Portland,OR,
Diabetes & Endocrine Center,,Dallas,TX,
Dickinson College,,Carlisle,PA,
Dixie State University,,St George,UT,
Dnax Research Institute Of Molecular & Cellular Biology Inc.,,Palo Alto,CA,
Doheny Eye Institute,,Los Angeles,CA,
Donald Danforth Plant Science Center,,St Louis,MO,
Dow Chemical Company,,Ferrum,VA,
Dow Corning,,Auburn,AL,
Drew University,,Madison,NJ,
Drexel University,Drexel University,Philadelphia,PA,95054
DuPont,,Wilmington,DE,
Duke University,Duke University,Durham,NC,95055
Duquesne University,Duquesne University,Pittsburgh,PA,2000007
Durham VA Medical Center,,Durham,NC,
Dyson,,New York,NY,
ERDC - Athens,,Athens,GA,
ERDC - Risk Modeling,,Concord,MA,
Earlham College,,Richmond,IN,
East Carolina University,East Carolina University,Greenville,NC,95056
East Georgia State College,,Statesboro,GA,
East Stroudsburg University,,E Stroudsburg,PA,
East Tennessee State University,,Johnson City,TN,
East West Center,,Honolulu,HI,
Eastern Connecticut State University,,Willimantic,CT,
Eastern Maine Medical Center,,Bangor,ME,
Eastern Michigan University,,Ypsilanti,MI,
Eastern Oregon University,,La Grande,OR,
Eastern Virginia Medical School,Eastern Virginia Med,Arlington,VA,96010
Eastern Washington University,,Cheney,WA,
Eastman Chemical Company,,Kingsport,TN,
Eastman Kodak,,Rochester,NY,
Eaton Corporation,,Milwaukee,WI,
Eau Galle Aquatic Ecology Laboratory,,Spring Valley,WI,
Edinboro University,,Edinboro,PA,
Educational Testing Service (ETS),,Princeton,NJ,
Edward Hines Jr. VA Hospital,,Hines,IL,
Edwards Lifesciences,,Irvine,CA,
Eisai Co Ltd,,Teaneck,NJ,
Elbit Systems,,Merrimack,NH,
Electric Power Research Institute (EPRI),,Palo Alto,CA,
Eli Lilly,,Indianapolis,IN,
Elon University,,Elon,NC,
Embry-Riddle Aeronautical University,Embry-Riddle Aeronautical University,Daytona Beach,FL,20070264
Emmes Corporation,,Rockville,MD,
Emory University,Emory University,Atlanta,GA,95059
Englewood Hospital & Medical Center,,Englewood,NJ,
Envision Pharmaceutical Services,,Philadelphia,PA,
Ernest Gallo Clinic & Research Center,,Emeryville,CA,
Eskenazi Health,,Indianapolis,IN,
Estee Lauder Companies,,Melville,NY,
Evidera,,Boston,MA,
Evonik Industries,,Kennesaw,GA,
Exponent,,Washington,DC,
Express Scripts Holding Company,,Maryland Hts,MO,
Exxon Mobil Corporation,,Houston,TX,
FANUC Corporation,,Rochester,MI,
FDA Center for Tobacco Products (CTP),,Rockville,MD,
FHI 360,,Durham,NC,
Facebook Inc,,Menlo Pk,CA,
Fairfield University,,Fairfield,CT,
Farmingdale State College,,Farmingdale,NY,
Federal National Mortgage Association (Fannie Mae),,Washington,DC,
Federal Reserve Bank - Atlanta,,Clemson,SC,
Federal Reserve Bank - Boston,,Boston,MA,
Federal Reserve Bank - Chicago,,Chicago,IL,
Federal Reserve Bank - Cleveland,,Cleveland,OH,
Federal Reserve Bank - Dallas,,Dallas,TX,
Federal Reserve Bank - Kansas City,,Kansas City,MO,
Federal Reserve Bank - New York,,New York,NY,
Federal Reserve Bank - Philadelphia,,Philadelphia,PA,
Federal Reserve Bank - Richmond,,Richmond,VA,
Federal Reserve Bank - San Francisco,,San Francisco,CA,
Federal Reserve Bank - St. Louis,,St Louis,MO,
Federal Reserve System - USA,,Philadelphia,PA,
Federal Reserve System Board of Governors,,Washington,DC,
Feinberg School of Medicine,,Chicago,IL,
Fenway Health,,Boston,MA,
Fermi National Accelerator Laboratory,,Batavia,IL,
FibroGen,,San Francisco,CA,
Field Museum of Natural History (Chicago),,Chicago,IL,
Field Research Facility (FRF),,Vicksburg,MS,
Fisk University,,Nashville,TN,
Fitchburg State College,,Fitchburg,MA,
Floating Hospital For Children,,Boston,MA,
Florida A&M University,,Tallahassee,FL,
Florida Atlantic University,Florida Atlantic University,Davie,FL,95060
Florida Cancer Specialists,,Ft Myers,FL,
Florida Department of Health,,Tallahassee,FL,
Florida Fish & Wildlife Conservation Commission,,St Petersburg,FL,
Florida Gulf Coast University,Florida Gulf Coast University,Ft Myers,FL,20070262
Florida Institute for Human & Machine Cognition (IHMC),,Pensacola,FL,
Florida Institute of Technology,Florida Institution of Technology,Melbourne,FL,
Florida International University,Florida International University,Miami,FL,2000008
Florida Orthopaedic Institute,,Tampa,FL,
Florida Polytechnical University,,Lakeland,FL,
Florida State University,Florida State University,Tallahassee,FL,95062
Ford Motor Company,,Dearborn,MI,
Fordham University,,Bronx,NY,
Formosa Chemicals & Fibre,,PORT LAVACA,TX,
Formosa Plastics,,Livingston,NJ,
Forsyth Institute,Forsyth Inst,Boston,MA,20120291
Fort Valley State University,,Ft Valley,GA,
Foundation for Blood Research (FBR),,Scarborough,ME,
Fox Chase Cancer Center,Fox Chase,Philadelphia,PA,95063
Framingham Heart Study,,Framingham,MA,
Framingham State College,,Framingham,MA,
Franciscan University of Steubenville,,Steubenville,OH,
Franklin & Marshall College,,Lancaster,PA,
Franklin University,,Columbus,OH,
Franklin W. Olin College of Engineering,,Needham,MA,
Fred Hutchinson Cancer Center,Fred Hutchinson,Seattle,WA,95064
Freddie Mac,,Mclean,VA,
Freescale Semiconductor,,Tempe,AZ,
Frostburg State University,,Frostburg,MD,
Fujifilm Corporation,,San Jose,CA,
Furukawa Electric,,Somerset,NJ,
GKN,,Germantown,WI,
Geisinger Commonwealth School of Medicine,,Scranton,PA,
Geisinger Health System,,Danville,PA,
Geisinger Medical Center,,Danville,PA,
Genentech,,San Francisco,CA,
General Atomics & Affiliated Companies,,San Diego,CA,
General Electric,,Niskayuna,NY,
General Motors,,Warren,MI,
Genomic Health,,Redwood City,CA,
Genzyme Corporation,,Cambridge,MA,
George Mason University,George Mason University,Fairfax,VA,95065
George Washington University,George Washington University,Washington,DC,20160316
Georgetown University,Georgetown University,Washington,DC,95066
Georgia College & State University,,Milledgeville,GA,
Georgia Gwinnett College,,Lawrenceville,NJ,
Georgia Highlands College,,Rome,GA,
Georgia Institute of Technology,Georgia Institute of Tech,Atlanta,GA,95067
Georgia Perimeter College,,Dunwoody,GA,
Georgia Southern University,,Statesboro,GA,
Georgia Southwestern State University,,AMERICUS,GA,
Georgia State University,Georgia State University,Atlanta,GA,20160321
Geospatial Research Laboratory (GRL),,Vicksburg,MS,
Geriatric Research Education & Clinical Center,,Birmingham,AL,
Gettysburg College,,Gettysburg,PA,
Gilead Sciences,,Foster City,CA,
